"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"20.05.2021","127,31","125,23","127,72","125,10","76,86M","2,10%"
"19.05.2021","124,69","123,16","124,92","122,86","92,61M","-0,13%"
"18.05.2021","124,85","126,56","126,99","124,78","63,34M","-1,12%"
"17.05.2021","126,27","126,82","126,93","125,17","74,24M","-0,93%"
"14.05.2021","127,45","126,25","127,89","125,85","81,92M","1,98%"
"13.05.2021","124,97","124,58","126,15","124,26","105,86M","1,79%"
"12.05.2021","122,77","123,40","124,64","122,25","112,17M","-2,49%"
"11.05.2021","125,91","123,50","126,27","122,77","126,14M","-0,74%"
"10.05.2021","126,85","129,41","129,54","126,81","88,07M","-2,58%"
"07.05.2021","130,21","130,85","131,26","129,47","78,97M","0,36%"
"06.05.2021","129,74","127,89","129,75","127,13","78,13M","1,28%"
"05.05.2021","128,10","129,20","130,45","127,97","84,00M","0,20%"
"04.05.2021","127,85","131,19","131,49","126,70","137,56M","-3,54%"
"03.05.2021","132,54","132,04","134,07","131,83","75,14M","0,82%"
"30.04.2021","131,46","131,78","133,56","131,06","109,84M","-1,51%"
"29.04.2021","133,48","136,47","137,07","132,45","151,10M","-0,07%"
"28.04.2021","133,58","134,31","135,02","133,08","107,76M","-0,60%"
"27.04.2021","134,39","135,01","135,41","134,11","66,02M","-0,24%"
"26.04.2021","134,72","134,83","135,06","133,56","66,91M","0,30%"
"23.04.2021","134,32","132,16","135,12","132,16","78,76M","1,80%"
"22.04.2021","131,94","133,04","134,15","131,41","84,57M","-1,17%"
"21.04.2021","133,50","132,36","133,75","131,30","68,85M","0,29%"
"20.04.2021","133,11","135,02","135,53","131,81","94,81M","-1,28%"
"19.04.2021","134,84","133,51","135,47","133,34","94,26M","0,51%"
"16.04.2021","134,16","134,30","134,67","133,28","84,92M","-0,25%"
"15.04.2021","134,50","133,82","135,00","133,64","89,35M","1,87%"
"14.04.2021","132,03","134,94","135,00","131,66","87,22M","-1,79%"
"13.04.2021","134,43","132,44","134,66","131,93","91,27M","2,43%"
"12.04.2021","131,24","132,52","132,85","130,63","91,42M","-1,32%"
"09.04.2021","133,00","129,80","133,04","129,47","106,69M","2,03%"
"08.04.2021","130,36","128,95","130,39","128,52","88,84M","1,92%"
"07.04.2021","127,90","125,83","127,92","125,14","83,47M","1,34%"
"06.04.2021","126,21","126,50","127,13","125,65","80,17M","0,25%"
"05.04.2021","125,90","123,87","126,16","123,07","88,65M","2,36%"
"01.04.2021","123,00","123,66","124,18","122,49","75,09M","0,70%"
"31.03.2021","122,15","121,65","123,52","121,15","118,32M","1,88%"
"30.03.2021","119,90","120,11","120,40","118,86","85,67M","-1,23%"
"29.03.2021","121,39","121,65","122,58","120,73","80,82M","0,15%"
"26.03.2021","121,21","120,35","121,48","118,92","94,07M","0,51%"
"25.03.2021","120,59","119,54","121,66","119,00","98,84M","0,42%"
"24.03.2021","120,09","122,82","122,90","120,06","88,53M","-2,00%"
"23.03.2021","122,54","123,33","124,24","122,14","95,47M","-0,69%"
"22.03.2021","123,39","120,33","123,87","120,26","111,91M","2,83%"
"19.03.2021","119,99","119,90","121,43","119,67","185,55M","-0,45%"
"18.03.2021","120,53","122,88","123,18","120,32","121,47M","-3,39%"
"17.03.2021","124,76","124,05","125,86","122,34","111,93M","-0,65%"
"16.03.2021","125,57","125,70","127,22","124,72","115,23M","1,27%"
"15.03.2021","123,99","121,41","124,00","120,42","92,59M","2,45%"
"12.03.2021","121,03","120,40","121,17","119,16","88,11M","-0,76%"
"11.03.2021","121,96","122,54","123,21","121,26","103,03M","1,65%"
"10.03.2021","119,98","121,69","122,17","119,45","111,94M","-0,91%"
"09.03.2021","121,08","119,03","122,06","118,79","129,53M","4,06%"
"08.03.2021","116,36","120,93","121,00","116,21","154,38M","-4,17%"
"05.03.2021","121,42","120,98","121,94","117,57","153,77M","1,07%"
"04.03.2021","120,13","121,75","123,60","118,62","178,15M","-1,58%"
"03.03.2021","122,06","124,81","125,71","121,84","112,97M","-2,45%"
"02.03.2021","125,12","128,41","128,72","125,01","102,26M","-2,09%"
"01.03.2021","127,79","123,75","127,93","122,79","116,31M","5,39%"
"26.02.2021","121,26","122,59","124,85","121,20","164,56M","0,22%"
"25.02.2021","120,99","124,68","126,46","120,54","148,20M","-3,48%"
"24.02.2021","125,35","124,94","125,56","122,23","111,04M","-0,41%"
"23.02.2021","125,86","123,76","126,71","118,39","158,27M","-0,11%"
"22.02.2021","126,00","128,01","129,72","125,60","103,92M","-2,98%"
"19.02.2021","129,87","130,24","130,71","128,80","87,67M","0,12%"
"18.02.2021","129,71","129,20","130,00","127,41","96,86M","-0,86%"
"17.02.2021","130,84","131,25","132,22","129,47","98,09M","-1,76%"
"16.02.2021","133,19","135,49","136,01","132,79","80,58M","-1,61%"
"12.02.2021","135,37","134,35","135,53","133,69","60,15M","0,18%"
"11.02.2021","135,13","135,90","136,39","133,77","64,28M","-0,19%"
"10.02.2021","135,39","136,48","136,99","134,40","73,05M","-0,46%"
"09.02.2021","136,01","136,62","137,88","135,85","76,77M","-0,66%"
"08.02.2021","136,91","136,03","136,96","134,92","71,30M","0,11%"
"05.02.2021","136,76","137,35","137,42","135,86","75,69M","-0,46%"
"04.02.2021","137,39","136,30","137,40","134,59","84,18M","2,58%"
"03.02.2021","133,94","135,76","135,77","133,61","89,88M","-0,78%"
"02.02.2021","134,99","135,73","136,31","134,61","83,31M","0,63%"
"01.02.2021","134,14","133,75","135,38","130,93","106,24M","1,65%"
"29.01.2021","131,96","135,83","136,74","130,21","177,52M","-3,74%"
"28.01.2021","137,09","139,52","141,99","136,70","142,62M","-3,50%"
"27.01.2021","142,06","143,43","144,30","140,41","140,84M","-0,77%"
"26.01.2021","143,16","143,60","144,30","141,37","98,39M","0,17%"
"25.01.2021","142,92","143,07","145,09","136,54","157,61M","2,77%"
"22.01.2021","139,07","136,28","139,85","135,02","114,46M","1,61%"
"21.01.2021","136,87","133,80","139,67","133,59","120,53M","3,67%"
"20.01.2021","132,03","128,66","132,49","128,55","104,32M","3,29%"
"19.01.2021","127,83","127,78","128,71","126,94","90,76M","0,54%"
"15.01.2021","127,14","128,78","130,22","127,00","111,60M","-1,37%"
"14.01.2021","128,91","130,80","131,00","128,76","90,22M","-1,51%"
"13.01.2021","130,89","128,76","131,45","128,49","88,64M","1,62%"
"12.01.2021","128,80","128,50","129,69","126,86","91,95M","-0,14%"
